Person,Model,CV_Mean,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,TN,FP,FN,TP,FAR,FRR
chirag,Gradient Boosting,0.9212962962962964,0.0559400276555304,0.7272727272727273,0.0,0.0,0.0,8,2,1,0,0.2,1.0
chirag,MLP Neural Network,0.9212962962962964,0.0559400276555304,1.0,1.0,1.0,1.0,10,0,0,1,0.0,0.0
chirag,Random Forest,0.9212962962962964,0.0559400276555304,1.0,1.0,1.0,1.0,10,0,0,1,0.0,0.0
chirag,SVM,0.8796296296296297,0.0065472850109865,0.9090909090909092,0.0,0.0,0.0,10,0,1,0,0.0,1.0
devansh,Gradient Boosting,0.7936507936507936,0.1472002935792969,0.7777777777777778,0.0,0.0,0.0,7,1,1,0,0.125,1.0
devansh,MLP Neural Network,0.8968253968253969,0.0736001467896484,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
devansh,Random Forest,0.8412698412698413,0.0112239171616911,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
devansh,SVM,0.8412698412698413,0.0112239171616911,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
divyansh,Gradient Boosting,0.7962962962962963,0.0654728501098654,1.0,1.0,1.0,1.0,10,0,0,1,0.0,0.0
divyansh,MLP Neural Network,0.9166666666666666,0.0589255650988789,0.7272727272727273,0.0,0.0,0.0,8,2,1,0,0.2,1.0
divyansh,Random Forest,0.8796296296296297,0.0065472850109865,0.7272727272727273,0.0,0.0,0.0,8,2,1,0,0.2,1.0
divyansh,SVM,0.8796296296296297,0.0065472850109865,0.9090909090909092,0.0,0.0,0.0,10,0,1,0,0.0,1.0
divyesh,Gradient Boosting,0.6825396825396827,0.1379218031506569,0.6666666666666666,0.0,0.0,0.0,6,2,1,0,0.25,1.0
divyesh,MLP Neural Network,0.8968253968253969,0.0736001467896484,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
divyesh,Random Forest,0.8412698412698413,0.0112239171616911,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
divyesh,SVM,0.8412698412698413,0.0112239171616911,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
harshit,Gradient Boosting,0.7936507936507936,0.0561195858084561,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
harshit,MLP Neural Network,0.8968253968253969,0.0736001467896484,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
harshit,Random Forest,0.8412698412698413,0.0112239171616911,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
harshit,SVM,0.8412698412698413,0.0112239171616911,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
kartik,Gradient Boosting,0.8968253968253969,0.0736001467896484,0.6666666666666666,0.0,0.0,0.0,6,2,1,0,0.25,1.0
kartik,MLP Neural Network,0.8412698412698413,0.0112239171616911,0.7777777777777778,0.0,0.0,0.0,7,1,1,0,0.125,1.0
kartik,Random Forest,0.8968253968253969,0.0736001467896484,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
kartik,SVM,0.8412698412698413,0.0112239171616911,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
saif,Gradient Boosting,0.7936507936507936,0.0561195858084561,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
saif,MLP Neural Network,0.9047619047619048,0.1346870059402947,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
saif,Random Forest,0.8492063492063493,0.1171811353986777,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
saif,SVM,0.8412698412698413,0.0112239171616911,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
sritiz,Gradient Boosting,0.7619047619047619,0.3367175148507369,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
sritiz,MLP Neural Network,0.7936507936507936,0.0561195858084561,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
sritiz,Random Forest,0.8412698412698413,0.0112239171616911,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
sritiz,SVM,0.8412698412698413,0.0112239171616911,0.8888888888888888,0.0,0.0,0.0,8,0,1,0,0.0,1.0
vanshish,Gradient Boosting,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
vanshish,MLP Neural Network,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
vanshish,Random Forest,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
vanshish,SVM,0.9523809523809524,0.0673435029701474,1.0,1.0,1.0,1.0,8,0,0,1,0.0,0.0
